WTeam,LTeam,WLoc
Indiana Pacers,Toronto Raptors,H
Washington Wizards,New York Knicks,V
Orlando Magic,Chicago Bulls,H
Miami Heat,Utah Jazz,H
San Antonio Spurs,Memphis Grizzlies,V
Denver Nuggets,Phoenix Suns,V
New Orleans Pelicans,Portland Trail Blazers,V
Houston Rockets,Sacramento Kings,V
Golden State Warriors,Minnesota Timberwolves,H
Boston Celtics,Toronto Raptors,V
Philadelphia 76ers,Milwaukee Bucks,H
Golden State Warriors,Houston Rockets,H
Los Angeles Clippers,Los Angeles Lakers,V
New Orleans Pelicans,Denver Nuggets,V
Detroit Pistons,Washington Wizards,H
New York Knicks,Brooklyn Nets,V
Dallas Mavericks,San Antonio Spurs,H
Memphis Grizzlies,Oklahoma City Thunder,V
Minnesota Timberwolves,Sacramento Kings,V
Utah Jazz,Portland Trail Blazers,H
Boston Celtics,Cleveland Cavaliers,H
Oklahoma City Thunder,Charlotte Hornets,V
Orlando Magic,Philadelphia 76ers,H
Milwaukee Bucks,Atlanta Hawks,V
Miami Heat,Indiana Pacers,H
Golden State Warriors,Phoenix Suns,H
Denver Nuggets,Memphis Grizzlies,H
Toronto Raptors,Boston Celtics,V
New Orleans Pelicans,Indiana Pacers,H
Chicago Bulls,Atlanta Hawks,H
Houston Rockets,Brooklyn Nets,H
Miami Heat,Philadelphia 76ers,H
Cleveland Cavaliers,Minnesota Timberwolves,V
New York Knicks,Washington Wizards,V
Dallas Mavericks,Golden State Warriors,V
Milwaukee Bucks,Orlando Magic,H
San Antonio Spurs,Detroit Pistons,H
Phoenix Suns,Sacramento Kings,V
Los Angeles Lakers,Portland Trail Blazers,V
Utah Jazz,Los Angeles Clippers,V
Oklahoma City Thunder,Toronto Raptors,V
Denver Nuggets,Sacramento Kings,H
Memphis Grizzlies,Charlotte Hornets,H
New Orleans Pelicans,Houston Rockets,H
Los Angeles Lakers,Dallas Mavericks,H
Atlanta Hawks,Orlando Magic,V
Washington Wizards,Miami Heat,H
Milwaukee Bucks,Chicago Bulls,V
Minnesota Timberwolves,Brooklyn Nets,H
Utah Jazz,Detroit Pistons,H
Phoenix Suns,Portland Trail Blazers,V
Boston Celtics,Charlotte Hornets,V
Indiana Pacers,Philadelphia 76ers,H
Los Angeles Clippers,Sacramento Kings,V
Houston Rockets,Denver Nuggets,H
San Antonio Spurs,Golden State Warriors,H
Toronto Raptors,Cleveland Cavaliers,H
Oklahoma City Thunder,Dallas Mavericks,H
Orlando Magic,Washington Wizards,V
New York Knicks,Portland Trail Blazers,H
Milwaukee Bucks,Minnesota Timberwolves,H
Los Angeles Lakers,Phoenix Suns,H
Charlotte Hornets,Cleveland Cavaliers,V
Denver Nuggets,Indiana Pacers,V
Miami Heat,Toronto Raptors,H
Utah Jazz,Chicago Bulls,V
Minnesota Timberwolves,Golden State Warriors,H
Dallas Mavericks,Brooklyn Nets,H
Oklahoma City Thunder,San Antonio Spurs,V
Sacramento Kings,Memphis Grizzlies,H
Los Angeles Clippers,Detroit Pistons,H
Boston Celtics,Atlanta Hawks,H
Orlando Magic,Miami Heat,H
Portland Trail Blazers,Washington Wizards,V
Houston Rockets,Philadelphia 76ers,H
Phoenix Suns,New York Knicks,H
Los Angeles Lakers,New Orleans Pelicans,H
Memphis Grizzlies,Los Angeles Clippers,V
Toronto Raptors,Brooklyn Nets,V
Utah Jazz,Orlando Magic,V
Atlanta Hawks,Indiana Pacers,H
Oklahoma City Thunder,Cleveland Cavaliers,V
Boston Celtics,Chicago Bulls,V
Washington Wizards,Denver Nuggets,H
Charlotte Hornets,Dallas Mavericks,V
Detroit Pistons,Golden State Warriors,V
Milwaukee Bucks,San Antonio Spurs,H
New Orleans Pelicans,Sacramento Kings,V
Los Angeles Clippers,New York Knicks,H
Miami Heat,Portland Trail Blazers,H
Minnesota Timberwolves,Cleveland Cavaliers,V
Memphis Grizzlies,Phoenix Suns,V
Los Angeles Lakers,Detroit Pistons,H
Indiana Pacers,Charlotte Hornets,V
Orlando Magic,Brooklyn Nets,H
Philadelphia 76ers,Oklahoma City Thunder,H
Washington Wizards,Boston Celtics,H
Denver Nuggets,Atlanta Hawks,V
Utah Jazz,New Orleans Pelicans,V
Dallas Mavericks,Chicago Bulls,H
San Antonio Spurs,Milwaukee Bucks,H
Sacramento Kings,Golden State Warriors,H
Detroit Pistons,Cleveland Cavaliers,V
Portland Trail Blazers,Toronto Raptors,V
Oklahoma City Thunder,Brooklyn Nets,V
Memphis Grizzlies,Minnesota Timberwolves,H
Sacramento Kings,Phoenix Suns,V
Los Angeles Lakers,New York Knicks,H
San Antonio Spurs,Boston Celtics,V
Toronto Raptors,Charlotte Hornets,V
Miami Heat,Indiana Pacers,V
Orlando Magic,Washington Wizards,H
Houston Rockets,Atlanta Hawks,V
Denver Nuggets,Dallas Mavericks,V
New Orleans Pelicans,Chicago Bulls,H
Utah Jazz,New York Knicks,H
Milwaukee Bucks,Golden State Warriors,V
Cleveland Cavaliers,Detroit Pistons,V
Philadelphia 76ers,Boston Celtics,H
Minnesota Timberwolves,Portland Trail Blazers,H
Oklahoma City Thunder,Houston Rockets,H
Washington Wizards,Atlanta Hawks,H
New Orleans Pelicans,New York Knicks,V
Brooklyn Nets,Miami Heat,H
Indiana Pacers,Chicago Bulls,V
Memphis Grizzlies,San Antonio Spurs,H
Phoenix Suns,Orlando Magic,H
Utah Jazz,Charlotte Hornets,H
Los Angeles Lakers,Dallas Mavericks,V
Milwaukee Bucks,Sacramento Kings,V
Los Angeles Clippers,Golden State Warriors,H
Houston Rockets,Minnesota Timberwolves,H
Boston Celtics,New Orleans Pelicans,H
Chicago Bulls,Detroit Pistons,V
Los Angeles Lakers,Oklahoma City Thunder,V
Dallas Mavericks,Philadelphia 76ers,H
Cleveland Cavaliers,Denver Nuggets,V
Milwaukee Bucks,Portland Trail Blazers,V
New York Knicks,Miami Heat,H
Utah Jazz,Washington Wizards,V
Brooklyn Nets,Atlanta Hawks,H
Memphis Grizzlies,Golden State Warriors,H
San Antonio Spurs,Toronto Raptors,V
Denver Nuggets,Los Angeles Clippers,H
Phoenix Suns,Charlotte Hornets,H
New Orleans Pelicans,Detroit Pistons,V
Indiana Pacers,Philadelphia 76ers,H
Boston Celtics,Chicago Bulls,H
Oklahoma City Thunder,Minnesota Timberwolves,V
Portland Trail Blazers,Charlotte Hornets,H
Orlando Magic,Sacramento Kings,V
Los Angeles Lakers,Cleveland Cavaliers,H
Atlanta Hawks,Phoenix Suns,H
Utah Jazz,Brooklyn Nets,V
Memphis Grizzlies,Houston Rockets,H
Milwaukee Bucks,New York Knicks,H
Dallas Mavericks,Golden State Warriors,V
Los Angeles Clippers,Cleveland Cavaliers,H
Detroit Pistons,Boston Celtics,V
Philadelphia 76ers,Brooklyn Nets,H
Miami Heat,San Antonio Spurs,H
Chicago Bulls,Washington Wizards,H
Indiana Pacers,Minnesota Timberwolves,V
Toronto Raptors,Oklahoma City Thunder,V
Denver Nuggets,Charlotte Hornets,H
Portland Trail Blazers,Houston Rockets,V
Dallas Mavericks,Sacramento Kings,V
Orlando Magic,Los Angeles Lakers,V
Phoenix Suns,New York Knicks,V
Milwaukee Bucks,Boston Celtics,H
New Orleans Pelicans,Utah Jazz,H
Denver Nuggets,Golden State Warriors,V
Los Angeles Clippers,Orlando Magic,H
Indiana Pacers,Minnesota Timberwolves,H
Philadelphia 76ers,Chicago Bulls,H
Toronto Raptors,Washington Wizards,H
Memphis Grizzlies,Cleveland Cavaliers,H
Miami Heat,Oklahoma City Thunder,V
Atlanta Hawks,San Antonio Spurs,V
Dallas Mavericks,Portland Trail Blazers,H
Los Angeles Clippers,New Orleans Pelicans,V
Milwaukee Bucks,Brooklyn Nets,V
Phoenix Suns,Boston Celtics,V
Detroit Pistons,Atlanta Hawks,V
Philadelphia 76ers,New York Knicks,V
Chicago Bulls,Cleveland Cavaliers,H
Toronto Raptors,Minnesota Timberwolves,V
Golden State Warriors,Orlando Magic,H
Los Angeles Lakers,Houston Rockets,V
Oklahoma City Thunder,Portland Trail Blazers,H
Utah Jazz,Sacramento Kings,H
San Antonio Spurs,Miami Heat,H
Indiana Pacers,Denver Nuggets,V
Washington Wizards,Detroit Pistons,H
Toronto Raptors,Atlanta Hawks,V
Philadelphia 76ers,Brooklyn Nets,V
Orlando Magic,Charlotte Hornets,V
New York Knicks,Cleveland Cavaliers,V
Oklahoma City Thunder,Houston Rockets,V
New Orleans Pelicans,Memphis Grizzlies,V
Miami Heat,Sacramento Kings,H
Milwaukee Bucks,Chicago Bulls,H
Boston Celtics,Los Angeles Lakers,H
Denver Nuggets,Minnesota Timberwolves,V
San Antonio Spurs,Phoenix Suns,V
Utah Jazz,Indiana Pacers,H
Portland Trail Blazers,Golden State Warriors,H
Los Angeles Clippers,Dallas Mavericks,V
Detroit Pistons,Sacramento Kings,H
Oklahoma City Thunder,Orlando Magic,V
Toronto Raptors,Philadelphia 76ers,H
Atlanta Hawks,Los Angeles Clippers,H
Boston Celtics,Memphis Grizzlies,H
Miami Heat,Washington Wizards,H
Los Angeles Lakers,New York Knicks,V
Chicago Bulls,Minnesota Timberwolves,H
Houston Rockets,Denver Nuggets,H
Indiana Pacers,Phoenix Suns,V
San Antonio Spurs,New Orleans Pelicans,V
Utah Jazz,Golden State Warriors,V
Washington Wizards,Cleveland Cavaliers,V
Los Angeles Lakers,Brooklyn Nets,V
Dallas Mavericks,Portland Trail Blazers,V
Milwaukee Bucks,Charlotte Hornets,V
Memphis Grizzlies,Detroit Pistons,V
Boston Celtics,Orlando Magic,V
Toronto Raptors,New York Knicks,V
Sacramento Kings,Chicago Bulls,V
Los Angeles Clippers,Miami Heat,V
Houston Rockets,Minnesota Timberwolves,V
Denver Nuggets,New Orleans Pelicans,V
Oklahoma City Thunder,Atlanta Hawks,H
Phoenix Suns,San Antonio Spurs,V
Indiana Pacers,Golden State Warriors,V
Utah Jazz,Dallas Mavericks,H
Brooklyn Nets,Detroit Pistons,V
Chicago Bulls,Cleveland Cavaliers,V
Oklahoma City Thunder,Minnesota Timberwolves,V
Philadelphia 76ers,Los Angeles Lakers,H
Denver Nuggets,Houston Rockets,H
Toronto Raptors,San Antonio Spurs,V
Atlanta Hawks,Washington Wizards,H
Memphis Grizzlies,Phoenix Suns,H
New Orleans Pelicans,Boston Celtics,H
New York Knicks,Brooklyn Nets,H
Los Angeles Clippers,Orlando Magic,V
Portland Trail Blazers,Indiana Pacers,H
Cleveland Cavaliers,Detroit Pistons,V
Miami Heat,Orlando Magic,H
Chicago Bulls,San Antonio Spurs,H
Sacramento Kings,Minnesota Timberwolves,V
Dallas Mavericks,Oklahoma City Thunder,V
Houston Rockets,Utah Jazz,V
Charlotte Hornets,New York Knicks,H
Philadelphia 76ers,Golden State Warriors,H
New Orleans Pelicans,Cleveland Cavaliers,V
Toronto Raptors,Atlanta Hawks,H
Memphis Grizzlies,Denver Nuggets,H
Boston Celtics,Miami Heat,V
Milwaukee Bucks,Washington Wizards,H
Phoenix Suns,Dallas Mavericks,V
Indiana Pacers,Chicago Bulls,H
Brooklyn Nets,Detroit Pistons,H
Memphis Grizzlies,New York Knicks,V
San Antonio Spurs,Utah Jazz,H
Portland Trail Blazers,Houston Rockets,H
Oklahoma City Thunder,Sacramento Kings,V
Toronto Raptors,Cleveland Cavaliers,V
Washington Wizards,Charlotte Hornets,H
Atlanta Hawks,Philadelphia 76ers,H
Boston Celtics,Golden State Warriors,H
Denver Nuggets,Utah Jazz,H
Sacramento Kings,Los Angeles Clippers,V
Toronto Raptors,Detroit Pistons,V
Brooklyn Nets,Chicago Bulls,H
Houston Rockets,Dallas Mavericks,H
New Orleans Pelicans,Memphis Grizzlies,H
Denver Nuggets,Milwaukee Bucks,V
Oklahoma City Thunder,Phoenix Suns,V
Portland Trail Blazers,Los Angeles Lakers,V
Los Angeles Clippers,Minnesota Timberwolves,H
New York Knicks,Indiana Pacers,V
Miami Heat,Orlando Magic,V
Golden State Warriors,Cleveland Cavaliers,V
Washington Wizards,Brooklyn Nets,H
Boston Celtics,Philadelphia 76ers,H
Dallas Mavericks,Atlanta Hawks,H
San Antonio Spurs,Charlotte Hornets,H
Los Angeles Lakers,Sacramento Kings,V
Portland Trail Blazers,Utah Jazz,H
Detroit Pistons,Denver Nuggets,H
Houston Rockets,New Orleans Pelicans,H
Milwaukee Bucks,Phoenix Suns,H
Toronto Raptors,Chicago Bulls,H
Orlando Magic,Charlotte Hornets,V
New York Knicks,Cleveland Cavaliers,V
Dallas Mavericks,Indiana Pacers,V
Golden State Warriors,Washington Wizards,V
Boston Celtics,Atlanta Hawks,V
Brooklyn Nets,Phoenix Suns,H
Miami Heat,Philadelphia 76ers,H
Memphis Grizzlies,Detroit Pistons,H
Sacramento Kings,Minnesota Timberwolves,H
Los Angeles Clippers,San Antonio Spurs,H
Milwaukee Bucks,New Orleans Pelicans,V
Houston Rockets,Charlotte Hornets,H
Denver Nuggets,Portland Trail Blazers,H
Los Angeles Lakers,San Antonio Spurs,H
Detroit Pistons,Phoenix Suns,H
Boston Celtics,Orlando Magic,H
Brooklyn Nets,Golden State Warriors,H
Toronto Raptors,Indiana Pacers,H
Atlanta Hawks,Minnesota Timberwolves,V
Oklahoma City Thunder,Cleveland Cavaliers,H
Memphis Grizzlies,Dallas Mavericks,V
Denver Nuggets,Utah Jazz,V
Los Angeles Clippers,Miami Heat,H
New York Knicks,Orlando Magic,H
New Orleans Pelicans,Chicago Bulls,V
Milwaukee Bucks,Philadelphia 76ers,H
Portland Trail Blazers,San Antonio Spurs,H
Houston Rockets,Los Angeles Lakers,V
Philadelphia 76ers,Memphis Grizzlies,H
Washington Wizards,Dallas Mavericks,H
Boston Celtics,Atlanta Hawks,H
Toronto Raptors,Indiana Pacers,V
Oklahoma City Thunder,Detroit Pistons,H
Phoenix Suns,Houston Rockets,H
Sacramento Kings,Miami Heat,H
Utah Jazz,Portland Trail Blazers,H
Milwaukee Bucks,Orlando Magic,V
Dallas Mavericks,Charlotte Hornets,V
New York Knicks,Detroit Pistons,V
New Orleans Pelicans,Indiana Pacers,V
Toronto Raptors,Brooklyn Nets,H
Minnesota Timberwolves,Los Angeles Clippers,H
Los Angeles Lakers,Golden State Warriors,V
Denver Nuggets,Phoenix Suns,V
Sacramento Kings,San Antonio Spurs,H
Boston Celtics,Oklahoma City Thunder,V
Atlanta Hawks,New York Knicks,H
Philadelphia 76ers,Chicago Bulls,H
Memphis Grizzlies,Washington Wizards,V
Utah Jazz,Houston Rockets,V
Los Angeles Clippers,Cleveland Cavaliers,V
Portland Trail Blazers,Miami Heat,H
Charlotte Hornets,Detroit Pistons,V
Brooklyn Nets,Indiana Pacers,V
Orlando Magic,Atlanta Hawks,H
Toronto Raptors,Minnesota Timberwolves,H
Milwaukee Bucks,Sacramento Kings,H
Utah Jazz,Dallas Mavericks,V
Denver Nuggets,San Antonio Spurs,H
Miami Heat,Golden State Warriors,V
Los Angeles Lakers,Phoenix Suns,H
Philadelphia 76ers,Los Angeles Clippers,H
Washington Wizards,Chicago Bulls,H
New Orleans Pelicans,Portland Trail Blazers,H
San Antonio Spurs,Oklahoma City Thunder,V
Houston Rockets,Boston Celtics,H
Cleveland Cavaliers,Atlanta Hawks,H
Orlando Magic,Detroit Pistons,H
Brooklyn Nets,Toronto Raptors,H
Indiana Pacers,Milwaukee Bucks,H
Washington Wizards,New York Knicks,V
Memphis Grizzlies,Portland Trail Blazers,H
Charlotte Hornets,Minnesota Timberwolves,V
Dallas Mavericks,Sacramento Kings,H
Phoenix Suns,Golden State Warriors,H
Utah Jazz,Miami Heat,H
Los Angeles Lakers,Denver Nuggets,V
Boston Celtics,Los Angeles Clippers,H
Oklahoma City Thunder,New Orleans Pelicans,V
Milwaukee Bucks,Detroit Pistons,V
Atlanta Hawks,Miami Heat,H
Charlotte Hornets,Chicago Bulls,V
Philadelphia 76ers,Brooklyn Nets,H
Sacramento Kings,Memphis Grizzlies,H
Houston Rockets,Golden State Warriors,V
Dallas Mavericks,Orlando Magic,V
Cleveland Cavaliers,Washington Wizards,V
Indiana Pacers,New York Knicks,V
Toronto Raptors,Phoenix Suns,H
Boston Celtics,Minnesota Timberwolves,V
Oklahoma City Thunder,Denver Nuggets,H
San Antonio Spurs,Utah Jazz,V
Los Angeles Lakers,Memphis Grizzlies,H
New Orleans Pelicans,Portland Trail Blazers,V
Sacramento Kings,Los Angeles Clippers,V
Brooklyn Nets,Charlotte Hornets,V
Atlanta Hawks,Dallas Mavericks,H
Phoenix Suns,Chicago Bulls,V
Miami Heat,Cleveland Cavaliers,H
Milwaukee Bucks,Philadelphia 76ers,H
Houston Rockets,Utah Jazz,V
Los Angeles Lakers,Boston Celtics,H
Denver Nuggets,Minnesota Timberwolves,H
Toronto Raptors,Indiana Pacers,H
Chicago Bulls,Washington Wizards,H
Oklahoma City Thunder,San Antonio Spurs,H
New Orleans Pelicans,Golden State Warriors,V
Portland Trail Blazers,Detroit Pistons,H
Cleveland Cavaliers,Miami Heat,H
Philadelphia 76ers,Atlanta Hawks,H
Milwaukee Bucks,Washington Wizards,V
Orlando Magic,Brooklyn Nets,V
Houston Rockets,New York Knicks,H
Dallas Mavericks,Minnesota Timberwolves,H
Phoenix Suns,Utah Jazz,V
Los Angeles Clippers,Memphis Grizzlies,H
Indiana Pacers,Charlotte Hornets,H
Milwaukee Bucks,Toronto Raptors,V
Oklahoma City Thunder,Chicago Bulls,V
Denver Nuggets,Detroit Pistons,H
Los Angeles Lakers,New Orleans Pelicans,H
Boston Celtics,Portland Trail Blazers,V
Sacramento Kings,Golden State Warriors,V
Charlotte Hornets,New York Knicks,H
Cleveland Cavaliers,Philadelphia 76ers,H
Washington Wizards,Brooklyn Nets,H
Orlando Magic,Atlanta Hawks,V
Minnesota Timberwolves,Miami Heat,V
Houston Rockets,Memphis Grizzlies,H
Dallas Mavericks,San Antonio Spurs,V
Los Angeles Clippers,Phoenix Suns,V
Boston Celtics,Utah Jazz,V
Philadelphia 76ers,New York Knicks,H
Indiana Pacers,Portland Trail Blazers,H
Oklahoma City Thunder,Sacramento Kings,H
Los Angeles Lakers,Golden State Warriors,V
Orlando Magic,Minnesota Timberwolves,H
Atlanta Hawks,Brooklyn Nets,H
Charlotte Hornets,Toronto Raptors,V
Sacramento Kings,Memphis Grizzlies,V
Miami Heat,Dallas Mavericks,H
Milwaukee Bucks,Oklahoma City Thunder,H
New Orleans Pelicans,Cleveland Cavaliers,H
Detroit Pistons,Phoenix Suns,V
Utah Jazz,Washington Wizards,H
Los Angeles Clippers,Denver Nuggets,H
New York Knicks,Chicago Bulls,H
Atlanta Hawks,Portland Trail Blazers,H
Miami Heat,Brooklyn Nets,H
Indiana Pacers,Cleveland Cavaliers,V
Memphis Grizzlies,Los Angeles Lakers,H
Houston Rockets,Boston Celtics,V
San Antonio Spurs,Orlando Magic,H
Golden State Warriors,Phoenix Suns,V
